Country,Indicator,Trend slope
Egypt,Inflation,0.4503852664338952
Ghana,Inflation,10.68430277110108
Morocco,Inflation,-5.1058849330369025
Nigeria,Inflation,2.8005821783338494
Poland,Inflation,-3.8795428515806396
Georgia,Inflation,0.2401587872927451
Egypt,Debt,-0.5748848690092503
Ghana,Debt,1.5306262403007018
Morocco,Debt,-4.195958410123296
Nigeria,Debt,0.8471455984407505
Poland,Debt,0.005992209781055635
Georgia,Debt,-4.020189784474951
Egypt,Exchange rate,0.410466666666665
Ghana,Exchange rate,1.3383458333333347
Morocco,Exchange rate,-0.18906688029771956
Nigeria,Exchange rate,33.584180404280005
Poland,Exchange rate,0.34390833333332993
Georgia,Exchange rate,0.0836929166666649
Egypt,Reserves,-338674750.31589985
Ghana,Reserves,-1339317163.214635
Morocco,Reserves,806205935.0370026
Nigeria,Reserves,-582807931.0590477
Poland,Reserves,3322378310.74745
Georgia,Reserves,266539926.90214992
